,episode_ids,id,url,name,season,number,type,airdate,airtime,airstamp,runtime,rating,summary
645,645,1985403,https://www.tvmaze.com/episodes/1985403/light-speed-1x03-the-tactics-and-technology-behind-solar-car-racing,The Tactics and Technology Behind Solar Car Racing,1.0,3.0,regular,2020-12-07,,2020-12-07,19.0,,"It's day two and the teams are starting to get tactical, pushing their tech to the limits and then some."
646,646,1985404,https://www.tvmaze.com/episodes/1985404/light-speed-1x04-speed-spinning-out-and-aerodynamics-during-a-solar-car-race,"Speed, Spinning Out and Aerodynamics During a Solar Car Race",1.0,4.0,regular,2020-12-07,,2020-12-07,17.0,,"800 kilometers from the finish line, the remaining teams persist through the heat and wind-- some more successfully than others."
647,647,1985405,https://www.tvmaze.com/episodes/1985405/light-speed-1x05-navigating-a-solar-car-through-killer-conditions,Navigating a Solar Car Through Killer Conditions,1.0,5.0,regular,2020-12-07,,2020-12-07,24.0,,"On day four, teams scramble to perform repairs as lightning, thunder, and brutal winds batter their encampment."
648,648,1985406,https://www.tvmaze.com/episodes/1985406/light-speed-1x06-catastrophe-on-the-final-stretch-of-the-world-solar-challenge,Catastrophe on the Final Stretch of the World Solar Challenge,1.0,6.0,regular,2020-12-07,,2020-12-07,19.0,,"In the finale of our 2,000-mile race across the outback, things are about to take a sharp turn for one of the leading teams. The remaining teams are struggling to survive - but only one can win!"
649,649,1987807,https://www.tvmaze.com/episodes/1987807/v-ritme-kolbasy-1x03-poceluj-iudy,Поцелуй Иуды,1.0,3.0,regular,2020-12-07,,2020-12-07,25.0,,
650,650,1996348,https://www.tvmaze.com/episodes/1996348/fixer-1x01-episode-1,Episode 1,1.0,1.0,regular,2020-12-07,,2020-12-07,18.0,,
651,651,1996349,https://www.tvmaze.com/episodes/1996349/fixer-1x02-episode-2,Episode 2,1.0,2.0,regular,2020-12-07,,2020-12-07,16.0,,
652,652,1996350,https://www.tvmaze.com/episodes/1996350/fixer-1x03-episode-3,Episode 3,1.0,3.0,regular,2020-12-07,,2020-12-07,18.0,,
653,653,1996351,https://www.tvmaze.com/episodes/1996351/fixer-1x04-episode-4,Episode 4,1.0,4.0,regular,2020-12-07,,2020-12-07,18.0,,
654,654,1996352,https://www.tvmaze.com/episodes/1996352/fixer-1x05-episode-5,Episode 5,1.0,5.0,regular,2020-12-07,,2020-12-07,18.0,,
655,655,1996353,https://www.tvmaze.com/episodes/1996353/fixer-1x06-episode-6,Episode 6,1.0,6.0,regular,2020-12-07,,2020-12-07,16.0,,
656,656,1996354,https://www.tvmaze.com/episodes/1996354/fixer-1x07-episode-7,Episode 7,1.0,7.0,regular,2020-12-07,,2020-12-07,17.0,,
657,657,1996355,https://www.tvmaze.com/episodes/1996355/fixer-1x08-episode-8,Episode 8,1.0,8.0,regular,2020-12-07,,2020-12-07,16.0,,
