,shows_id,time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
238,294,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
239,296,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
240,298,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
241,299,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
242,300,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
243,301,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
244,302,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
245,303,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
246,305,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
247,306,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
248,307,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
249,308,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
250,309,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
251,310,22:30,0.0,0.0,0.0,0.0,0.0,0.0,1.0
252,311,12:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0
253,312,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
254,313,22:15,0.0,0.0,0.0,0.0,0.0,0.0,1.0
255,314,20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256,315,,1.0,0.0,0.0,1.0,0.0,0.0,0.0
257,316,08:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0
258,317,12:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0
259,318,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
260,319,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
261,320,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
262,321,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
263,322,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
264,323,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
265,324,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
266,325,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
267,326,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
268,328,20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0
269,329,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
270,330,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
271,331,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272,334,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273,337,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
274,339,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
275,340,19:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0
276,341,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
277,342,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
278,343,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
279,344,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
280,345,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
281,346,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
282,347,20:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0
283,348,20:15,0.0,1.0,0.0,0.0,0.0,0.0,0.0
284,349,21:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0
285,350,20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0
286,351,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
287,352,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
288,353,,0.0,1.0,1.0,0.0,0.0,0.0,0.0
289,354,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
290,356,,1.0,1.0,1.0,1.0,0.0,0.0,0.0
291,358,20:00,0.0,1.0,1.0,0.0,0.0,0.0,0.0
292,359,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
293,360,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
294,362,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
295,363,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
